Ticker,Current Price,All-Time High,ATH %Chg,6-Month High,Recent-High %Chg,5-Year High,Current P/E,Avg 5-Year P/E,Fair Value (TTM),Fair Value %Chg,Avg P/E × Fwd EPS,"MACD (12,26,9)",MACD Signal,RSI (1 yr)
NET,118.87,217.25,-0.4528423475258918,176.5,-0.3265155807365439,217.25,-516.8260869565217,-146.37520149369075,33.66629634354887,-0.7167805472907472,-151.3226833041775,-3.0768,-5.0339,52.7151
CRS,199.4,212.0634,-0.05971516065478529,212.0634,-0.05971516065478529,212.0634,35.9928,16.956066483312963,93.93660831755382,-0.5289036694204924,149.93401787869487,0.1769,-3.4278,55.5566
ORLY,1352.17,1441.89,-0.062223886704256236,1441.89,-0.062223886704256236,1441.89,33.2065,49.27510644833065,2006.482334576024,0.48389798218864777,2445.5038229880706,4.7477,9.1373,54.4621
DOCN,29.95,130.26,-0.7700752341470904,46.69,-0.35853501820518313,130.26,33.6517,171.49655384098426,152.631932918476,4.096224805291352,377.18952051786073,-2.2773,-2.5938,48.9479
TEM,53.5,89.44,-0.4018336314847943,89.44,-0.4018336314847943,89.44,-8.587479935794542,,,,,-1.1855,-2.5227,
VST,124.23,191.5597,-0.35148154857206393,191.5597,-0.35148154857206393,191.5597,17.7725,5.238298889176362,36.61570923534277,-0.7052587198314193,42.19816436153802,-2.6215,-4.6908,52.6156
CVS,65.92,99.0241,-0.3343034675397201,69.4639,-0.05101786683442758,99.0241,18.0109,9.301538464974355,34.043630781806144,-0.4835614262468728,64.09318094675228,0.2902,0.6906,51.0402
TER,77.3,166.2267,-0.5349724201948303,139.8511,-0.44726927424954116,166.2267,23.2831,30.797213181273918,102.2467477618294,0.32272636173129887,151.626999376684,-5.1682,-6.3902,47.3854
RIVN,12.09,172.01,-0.9297133887564676,16.49,-0.26682838083687077,172.01,-2.577825159914712,-4.3173341402942365,20.24829711797997,0.6747971148039678,12.582006885059492,-0.0498,-0.0814,49.9433
NTGR,22.43,48.217,-0.5348113735819316,30.91,-0.27434487220964093,45.23,53.4048,-141.75110038863957,-59.535462163228615,-3.6542782952843784,25.515198069955122,-0.6116,-0.7184,51.2914
SPOT,605.95,648.32,-0.06535352912142152,648.32,-0.06535352912142152,648.32,95.5757,-70.6121704998,-447.681160968732,-1.7388087481949532,-941.8180689092824,5.525,-1.061,57.6516
UBER,78.1,86.34,-0.09543664581885579,81.49,-0.041600196343109595,86.34,17.1272,-7.747451475705411,-35.32837872921667,-1.4523479990936834,-25.492214335661085,0.6391,-0.0484,53.6969
SNOW,158.66,401.89,-0.6052153574361143,192.78,-0.17698931424421624,401.89,-41.10362694300518,-233.90973997544066,902.8915963052009,4.690732360426074,-231.71098841967154,-2.6637,-4.5879,50.8887
ACHR,8.56,17.14,-0.5005834305717619,11.51,-0.25629887054735007,17.14,-6.028169014084508,-5.4143515568104865,7.688379210670891,-0.10182485856648477,4.188000929192911,-0.0272,-0.2212,53.0374
ASAN,15.98,142.68,-0.8880011213905242,27.52,-0.4193313953488372,142.68,-14.396396396396396,-49.29433357947388,54.71671027321601,2.4240744851824783,0.25633053461326416,-0.2621,-0.4438,49.9554
RKLB,21.88,31.57,-0.30693696547355087,31.57,-0.30693696547355087,31.57,-57.57894736842105,-31.939424793733416,12.136981421618698,-0.44529335367373407,-2.1080020363864054,0.1268,-0.2309,54.0877
DPZ,487.97,540.4305,-0.09707168636855251,487.97,0.0,540.4305,29.2723,30.041754583254637,500.79604890285486,0.026284502946604987,579.9530680542724,6.5074,2.9881,52.9901
LYFT,12.06,78.29,-0.8459573381019287,18.59,-0.3512641204948897,67.45,201.0,-26.8123766064444,-1.608742596386664,-1.1333949084897732,-10.129715881914695,-0.1993,-0.3312,49.9742
NEGG,3.91,2012.8,-0.9980574324324324,14.0,-0.7207142857142858,1351.4,-1.3299319727891157,387.08999195433796,-1138.0445763457535,-292.0599939503206,,-0.7092,-0.7803,46.3524
MSFT,387.3,464.8544,-0.16683589528247983,453.5506,-0.1460710227260199,464.8544,31.2591,39.909114861309135,494.4739331316202,0.27672071554768957,598.8402594054297,-3.6861,-4.8388,51.2179
AAPL,208.37,258.7355,-0.19466018385571365,258.7355,-0.19466018385571365,258.7355,33.0746,41.44484319961678,261.1025121575857,0.2530715177692839,330.33612272254555,-4.8963,-6.9839,50.6098
ARM,112.01,186.46,-0.399281347205835,179.93,-0.3774801311621186,186.46,147.3816,,,,,-3.8106,-5.9503,50.8048
AMZN,186.54,242.06,-0.22936462034206398,242.06,-0.22936462034206398,242.06,33.7324,64.0516316711234,354.2055231413124,0.8988180719487104,477.59458639256457,-5.7597,-6.9143,51.6831
META,533.15,736.0152,-0.27562637293360254,736.0152,-0.27562637293360254,736.0152,22.3262,21.579764742552456,515.3247820521526,-0.03343377651289011,605.4332477111546,-25.1278,-26.9721,52.3793
NFLX,1096.87,1096.87,0.0,1096.87,0.0,1096.87,51.7391,66.93253060645216,1418.9696488567859,0.2936534401130362,2053.8113151528632,26.4232,7.4006,58.3142
NVDA,106.43,149.4163,-0.2876948498925485,149.4163,-0.2876948498925485,149.4163,36.2007,87.567158211276,257.44744514115143,1.4189368142549226,388.29904965626116,-3.4692,-3.7748,51.4646
GOOG,161.47,207.4736,-0.22173230714654782,207.4736,-0.22173230714654782,207.4736,20.0833,30.079917062650384,241.84253318370907,0.49775520643902316,302.7032293765696,-2.8304,-4.003,51.1538
RDFN,9.25,96.59,-0.9042343927942851,11.46,-0.19284467713787093,96.59,-6.8014705882352935,-11.889329184346499,16.16948769071124,0.748052723320134,6.4998962650822305,-0.2098,-0.1635,50.5639
MDB,173.21,585.03,-0.7039297130061706,350.13,-0.5052980321594835,585.03,-100.70348837209303,-43.91198408288791,75.52861262256721,-0.563947736143599,-148.88358203303144,-11.1909,-14.6682,48.218
Z,65.83,199.9,-0.6706853426713356,87.97,-0.2516767079686257,199.9,-137.14583333333334,-2.4788318197670254,1.1898392734881722,-0.981925576887617,-5.852521926469947,-2.2614,-2.6928,51.3583
INTC,21.49,62.0851,-0.6538621988206511,27.39,-0.21540708287696247,62.0851,-4.906392694063927,55.11893771298369,-241.42094718286853,-12.23410643010091,61.37493714340733,-0.6395,-0.7528,48.8725
AMD,94.47,211.38,-0.5530797615668465,166.25,-0.4317593984962406,211.38,94.47,40.42460313179255,40.42460313179255,-0.5720905776247216,242.6486802985848,-3.5881,-4.0102,48.7373
AFRM,48.2,168.52,-0.7139805364348445,80.98,-0.404791306495431,168.52,-77.74193548387098,-27.281604555307347,16.914594824290553,-0.6490747961765445,-50.40549257638585,-1.5897,-2.9732,51.8139
COIN,203.87,357.39,-0.429558745348219,343.62,-0.4066992608113614,357.39,21.5053,242.13928853266486,2295.480455289663,10.25953036390672,1922.9733738110112,-2.1865,-7.6509,51.0743
TSLA,259.51,479.86,-0.4591964322927521,479.86,-0.4591964322927521,479.86,147.4489,278.7086751156345,490.5272682035167,0.8902056498921688,826.1482547777638,-7.4022,-9.5059,50.5479
HOOD,48.15,70.39,-0.31595397073447934,65.28,-0.26240808823529416,70.39,30.8654,-1.7710881096269055,-2.762897451017973,-1.0573810477885353,-3.0372389991991806,0.1508,-0.7309,54.8566
CAVA,91.02,150.88,-0.3967391304347826,150.88,-0.3967391304347826,150.88,82.7455,123.93997739135204,136.33397513048726,0.4978463538836219,87.8734439704686,-1.1506,-2.0012,50.7909
F,10.06,19.9749,-0.4963679417669175,11.0392,-0.08870207986085937,19.9749,6.8904,6.23487555529766,9.102918310734584,-0.09513734485739729,8.377802283653464,0.0049,-0.0477,49.7377
GM,46.88,63.922,-0.26660617627733796,59.912,-0.21751902790759775,63.922,7.3595,5.509276801650444,35.09409322651333,-0.2514058612091867,59.41314288435871,-0.6431,-0.9216,51.2559
SMR,16.56,30.21,-0.451837140019861,30.21,-0.451837140019861,30.21,-11.26530612244898,-11.014802071810076,16.19175904556081,-0.02223677261106204,5.31354051944118,-0.4636,-0.7593,50.9182
U,22.31,201.12,-0.8890712012728719,28.34,-0.2127734650670431,201.12,-13.279761904761905,164.54941012725345,-276.4430090137858,-13.390990991205102,-149.78932803883882,-0.22,-0.6935,49.8063
RDDT,112.25,225.23,-0.5016205656440084,225.23,-0.5016205656440084,225.23,-33.708708708708706,,,,,-6.7066,-10.0809,53.6062
SHOP,95.12,169.06,-0.43735951733112505,129.31,-0.26440337174232464,169.06,61.3677,310.1090289068687,480.66899480564643,4.053290525711169,582.5087998986621,-3.1668,-4.7462,52.0378
SOFI,12.31,25.78,-0.5224980605120249,18.03,-0.317249029395452,25.78,31.5641,1.6133012820512853,0.6291875000000013,-0.9488880991064174,0.7248562660256425,-0.2914,-0.543,51.8698
